site_name,month,month_name,avg_enterococci,samples,poor_pct
Hampton,11,Nov,624.73,11,27.27
Hampton,12,Dec,67.74,23,13.04
Mentone,1,Jan,339.25,28,35.71
Mentone,2,Feb,95.12,25,8.0
Mentone,3,Mar,64.77,13,7.69
Mentone,4,Apr,145.78,9,11.11
Mentone,5,May,46.0,6,0.0
Mentone,6,Jun,164.25,8,37.5
Mentone,7,Jul,122.0,5,20.0
Mentone,8,Aug,10.0,4,0.0
Mentone,9,Sep,32.62,8,0.0
Mentone,10,Oct,51.67,9,0.0
Mentone,11,Nov,172.55,11,18.18
Mentone,12,Dec,232.83,24,37.5
Mordialloc,1,Jan,309.39,28,32.14
Mordialloc,2,Feb,34.24,25,0.0
Mordialloc,3,Mar,74.23,13,15.38
Mordialloc,4,Apr,159.1,10,10.0
Mordialloc,5,May,38.0,6,0.0
Mordialloc,6,Jun,112.5,8,12.5
Mordialloc,7,Jul,226.25,4,25.0
Mordialloc,8,Aug,5.0,4,0.0
Mordialloc,9,Sep,55.75,8,0.0
Mordialloc,10,Oct,21.11,9,0.0
Mordialloc,11,Nov,178.82,11,18.18
Mordialloc,12,Dec,109.87,23,17.39
Mornington Life Saving Club,1,Jan,69.96,28,7.14
Mornington Life Saving Club,2,Feb,48.0,25,4.0
Mornington Life Saving Club,3,Mar,343.46,13,15.38
Mornington Life Saving Club,4,Apr,745.67,9,11.11
Mornington Life Saving Club,5,May,40.5,6,0.0
Mornington Life Saving Club,6,Jun,1071.82,11,36.36
Mornington Life Saving Club,7,Jul,19.25,4,0.0
Mornington Life Saving Club,8,Aug,16.75,4,0.0
Mornington Life Saving Club,9,Sep,57.75,8,0.0
Mornington Life Saving Club,10,Oct,79.8,10,10.0
Mornington Life Saving Club,11,Nov,1188.0,11,27.27
Mornington Life Saving Club,12,Dec,367.0,24,20.83
Mt Martha Life Saving Club,1,Jan,19.04,28,0.0
Mt Martha Life Saving Club,2,Feb,10.96,25,0.0
Mt Martha Life Saving Club,3,Mar,32.31,13,0.0
