Site ID,Site Name,Sample datetime,Enterococci value (orgs/100 mL),Enterococci qualifier,Sample type
99995,Carrum,2020-01-28,20,=,Routine
99760,Portarlington,2020-01-28,31,=,Routine
99770,St Leonards,2020-01-28,10,=,Routine
99996,Aspendale,2020-01-28,10,<,Routine
99998,Santa Casa,2020-01-28,20,=,Routine
99530,Rye,2020-02-04,10,<,Routine
99290,Sorrento,2020-02-04,20,=,Routine
99620,Mordialloc,2020-02-04,130,=,Routine
99280,Blairgowrie,2020-02-04,10,<,Routine
99100,Mentone,2020-02-04,31,=,Routine
99993,Rosebud,2020-02-04,10,<,Routine
99990,Beaumaris,2020-02-04,20,=,Routine
99550,Dromana,2020-02-04,20,=,Routine
99999,Black Rock,2020-02-04,20,=,Routine
99240,Safety Beach,2020-02-04,10,=,Routine
99070,Half Moon Bay,2020-02-04,20,=,Routine
99994,Mount Martha,2020-02-04,10,<,Routine
99630,Sandringham,2020-02-04,10,<,Routine
99992,Mornington,2020-02-04,10,<,Routine
99060,Hampton,2020-02-04,10,=,Routine
99580,Canadian Bay,2020-02-04,10,<,Routine
99991,Brighton,2020-02-04,10,=,Routine
99650,Elwood,2020-02-04,74,=,Routine
99730,Werribee South,2020-02-04,41,=,Routine
99590,Frankston Coast Guard,2020-02-04,10,<,Routine
99660,St Kilda,2020-02-04,74,=,Routine
99170,Frankston Life Saving Club,2020-02-04,10,<,Routine
99997,South Melbourne,2020-02-04,10,<,Routine
99020,Port Melbourne,2020-02-04,73,=,Routine
99160,Seaford,2020-02-04,10,<,Routine
99690,Sandridge,2020-02-04,10,=,Routine
99510,Eastern,2020-02-04,41,=,Routine
99995,Carrum,2020-02-04,10,<,Routine
99700,Williamstown,2020-02-04,63,=,Routine
99996,Aspendale,2020-02-04,20,=,Routine
99710,Altona,2020-02-04,41,=,Routine
99500,The Dell,2020-02-04,10,<,Routine
99760,Portarlington,2020-02-04,200,=,Routine
99770,St Leonards,2020-02-04,41,=,Routine
99998,Santa Casa,2020-02-04,10,<,Routine
99520,Portsea,2020-02-11,10,<,Routine
99290,Sorrento,2020-02-11,20,=,Routine
99620,Mordialloc,2020-02-11,31,=,Routine
99280,Blairgowrie,2020-02-11,63,=,Routine
99100,Mentone,2020-02-11,41,=,Routine
99530,Rye,2020-02-11,20,=,Routine
99990,Beaumaris,2020-02-11,63,=,Routine
99993,Rosebud,2020-02-11,390,=,Routine
99999,Black Rock,2020-02-11,260,=,Routine
99550,Dromana,2020-02-11,10,=,Routine
99070,Half Moon Bay,2020-02-11,41,=,Routine
99730,Werribee South,2020-02-11,98,=,Routine
99240,Safety Beach,2020-02-11,31,=,Routine
99630,Sandringham,2020-02-11,230,=,Routine
99060,Hampton,2020-02-11,10,<,Routine
99994,Mount Martha,2020-02-11,10,<,Routine
99991,Brighton,2020-02-11,20,=,Routine
99992,Mornington,2020-02-11,640,=,Routine
99650,Elwood,2020-02-11,10,=,Routine
99580,Canadian Bay,2020-02-11,52,=,Routine
99660,St Kilda,2020-02-11,98,=,Routine
99997,South Melbourne,2020-02-11,10,=,Routine
99510,Eastern,2020-02-11,10,=,Routine
99020,Port Melbourne,2020-02-11,20,=,Routine
99590,Frankston Coast Guard,2020-02-11,110,=,Routine
99690,Sandridge,2020-02-11,10,<,Routine
99170,Frankston Life Saving Club,2020-02-11,20,=,Routine
99160,Seaford,2020-02-11,10,=,Routine
99700,Williamstown,2020-02-11,10,<,Routine
99995,Carrum,2020-02-11,10,<,Routine
99998,Santa Casa,2020-02-11,10,=,Routine
99710,Altona,2020-02-11,10,=,Routine
99770,St Leonards,2020-02-11,10,<,Routine
99996,Aspendale,2020-02-11,20,=,Routine
99760,Portarlington,2020-02-11,10,=,Routine
99500,The Dell,2020-02-11,10,<,Routine
99620,Mordialloc,2020-02-18,10,=,Routine
99520,Portsea,2020-02-18,10,<,Routine
99100,Mentone,2020-02-18,10,=,Routine
99290,Sorrento,2020-02-18,10,<,Routine
99280,Blairgowrie,2020-02-18,10,<,Routine
99990,Beaumaris,2020-02-18,10,<,Routine
99530,Rye,2020-02-18,31,=,Routine
99999,Black Rock,2020-02-18,10,<,Routine
99993,Rosebud,2020-02-18,10,<,Routine
99070,Half Moon Bay,2020-02-18,140,=,Routine
99550,Dromana,2020-02-18,10,<,Routine
99630,Sandringham,2020-02-18,10,<,Routine
99240,Safety Beach,2020-02-18,10,<,Routine
99060,Hampton,2020-02-18,10,<,Routine
99994,Mount Martha,2020-02-18,10,<,Routine
99730,Werribee South,2020-02-18,20,=,Routine
99991,Brighton,2020-02-18,31,=,Routine
99992,Mornington,2020-02-18,10,<,Routine
99650,Elwood,2020-02-18,20,=,Routine
99660,St Kilda,2020-02-18,10,<,Routine
99580,Canadian Bay,2020-02-18,10,<,Routine
99997,South Melbourne,2020-02-18,10,<,Routine
99020,Port Melbourne,2020-02-18,41,=,Routine
99590,Frankston Coast Guard,2020-02-18,10,<,Routine
99690,Sandridge,2020-02-18,10,=,Routine
99170,Frankston Life Saving Club,2020-02-18,52,=,Routine
99160,Seaford,2020-02-18,10,<,Routine
99510,Eastern,2020-02-18,20,=,Routine
99700,Williamstown,2020-02-18,20,=,Routine
99995,Carrum,2020-02-18,10,<,Routine
99500,The Dell,2020-02-18,10,<,Routine
99710,Altona,2020-02-18,2800,=,Routine
99996,Aspendale,2020-02-18,10,=,Routine
99760,Portarlington,2020-02-18,170,=,Routine
99770,St Leonards,2020-02-18,10,=,Routine
99998,Santa Casa,2020-02-18,10,<,Routine
99620,Mordialloc,2020-02-25,160,=,Routine
99520,Portsea,2020-02-25,20,=,Routine
99100,Mentone,2020-02-25,41,=,Routine
99290,Sorrento,2020-02-25,10,=,Routine
99990,Beaumaris,2020-02-25,10,<,Routine
99280,Blairgowrie,2020-02-25,10,<,Routine
99999,Black Rock,2020-02-25,10,=,Routine
99530,Rye,2020-02-25,10,<,Routine
99070,Half Moon Bay,2020-02-25,10,=,Routine
99630,Sandringham,2020-02-25,10,=,Routine
99993,Rosebud,2020-02-25,10,=,Routine
99730,Werribee South,2020-02-25,210,=,Routine
99060,Hampton,2020-02-25,10,<,Routine
99550,Dromana,2020-02-25,20,=,Routine
99991,Brighton,2020-02-25,10,<,Routine
99240,Safety Beach,2020-02-25,10,=,Routine
99650,Elwood,2020-02-25,20,=,Routine
99994,Mount Martha,2020-02-25,10,=,Routine
99660,St Kilda,2020-02-25,200,=,Routine
99992,Mornington,2020-02-25,86,=,Routine
99997,South Melbourne,2020-02-25,10,<,Routine
99020,Port Melbourne,2020-02-25,86,=,Routine
99690,Sandridge,2020-02-25,10,=,Routine
99580,Canadian Bay,2020-02-25,52,=,Routine
99510,Eastern,2020-02-25,220,=,Routine
99700,Williamstown,2020-02-25,41,=,Routine
99590,Frankston Coast Guard,2020-02-25,74,=,Routine
99170,Frankston Life Saving Club,2020-02-25,74,=,Routine
99710,Altona,2020-02-25,41,=,Routine
99160,Seaford,2020-02-25,10,<,Routine
99998,Santa Casa,2020-02-25,10,<,Routine
99995,Carrum,2020-02-25,20,=,Routine
99770,St Leonards,2020-02-25,10,=,Routine
99996,Aspendale,2020-02-25,10,=,Routine
99760,Portarlington,2020-02-25,30,=,Routine
99500,The Dell,2020-02-25,10,=,Routine
99500,The Dell,2020-03-03,10,=,Routine
99510,Eastern,2020-03-03,20,=,Routine
99730,Werribee South,2020-03-03,20,=,Routine
99760,Portarlington,2020-03-03,10,=,Routine
99770,St Leonards,2020-03-03,10,=,Routine
99998,Santa Casa,2020-03-03,10,<,Routine
99620,Mordialloc,2020-03-03,20,=,Routine
99290,Sorrento,2020-03-03,10,=,Routine
99100,Mentone,2020-03-03,41,=,Routine
99280,Blairgowrie,2020-03-03,10,<,Routine
99999,Black Rock,2020-03-03,10,<,Routine
99530,Rye,2020-03-03,10,<,Routine
99990,Beaumaris,2020-03-03,10,=,Routine
99993,Rosebud,2020-03-03,10,=,Routine
99070,Half Moon Bay,2020-03-03,10,<,Routine
99550,Dromana,2020-03-03,31,=,Routine
99630,Sandringham,2020-03-03,10,<,Routine
99240,Safety Beach,2020-03-03,63,=,Routine
99060,Hampton,2020-03-03,10,<,Routine
99991,Brighton,2020-03-03,10,<,Routine
99994,Mount Martha,2020-03-03,10,=,Routine
99650,Elwood,2020-03-03,10,<,Routine
99992,Mornington,2020-03-03,10,<,Routine
99660,St Kilda,2020-03-03,62,=,Routine
99997,South Melbourne,2020-03-03,10,=,Routine
99020,Port Melbourne,2020-03-03,30,=,Routine
99580,Canadian Bay,2020-03-03,10,<,Routine
99690,Sandridge,2020-03-03,10,=,Routine
99700,Williamstown,2020-03-03,10,<,Routine
99590,Frankston Coast Guard,2020-03-03,10,=,Routine
99170,Frankston Life Saving Club,2020-03-03,10,=,Routine
99710,Altona,2020-03-03,10,=,Routine
99160,Seaford,2020-03-03,10,<,Routine
99995,Carrum,2020-03-03,31,=,Routine
99996,Aspendale,2020-03-03,10,<,Routine
99620,Mordialloc,2020-12-01,10,<,Routine
99520,Portsea,2020-12-01,10,<,Routine
99100,Mentone,2020-12-01,74,=,Routine
99990,Beaumaris,2020-12-01,10,=,Routine
99290,Sorrento,2020-12-01,31,=,Routine
99280,Blairgowrie,2020-12-01,52,=,Routine
99999,Black Rock,2020-12-01,10,<,Routine
99530,Rye,2020-12-01,310,=,Routine
99070,Half Moon Bay,2020-12-01,20,=,Routine
99993,Rosebud,2020-12-01,10,<,Routine
99630,Sandringham,2020-12-01,10,<,Routine
99550,Dromana,2020-12-01,10,=,Routine
99060,Hampton,2020-12-01,10,<,Routine
99240,Safety Beach,2020-12-01,10,<,Routine
99991,Brighton,2020-12-01,10,=,Routine
99650,Elwood,2020-12-01,10,<,Routine
99660,St Kilda,2020-12-01,10,<,Routine
99992,Mornington,2020-12-01,10,=,Routine
99997,South Melbourne,2020-12-01,10,<,Routine
99580,Canadian Bay,2020-12-01,10,<,Routine
99020,Port Melbourne,2020-12-01,31,=,Routine
99690,Sandridge,2020-12-01,31,=,Routine
99730,Werribee South,2020-12-01,10,=,Routine
99590,Frankston Coast Guard,2020-12-01,10,<,Routine
99170,Frankston Life Saving Club,2020-12-01,10,<,Routine
99700,Williamstown,2020-12-01,10,<,Routine
99160,Seaford,2020-12-01,10,<,Routine
99710,Altona,2020-12-01,10,<,Routine
99510,Eastern,2020-12-01,10,<,Routine
99995,Carrum,2020-12-01,10,<,Routine
99500,The Dell,2020-12-01,52,=,Routine
99996,Aspendale,2020-12-01,10,<,Routine
99760,Portarlington,2020-12-01,41,=,Routine
99770,St Leonards,2020-12-01,63,=,Routine
99998,Santa Casa,2020-12-01,10,=,Routine
99290,Sorrento,2020-12-08,41,=,Routine
99100,Mentone,2020-12-08,41,=,Routine
99280,Blairgowrie,2020-12-08,120,=,Routine
99530,Rye,2020-12-08,150,=,Routine
99990,Beaumaris,2020-12-08,380,=,Routine
99993,Rosebud,2020-12-08,63,=,Routine
99550,Dromana,2020-12-08,41,=,Routine
99999,Black Rock,2020-12-08,10,=,Routine
99070,Half Moon Bay,2020-12-08,20,=,Routine
99240,Safety Beach,2020-12-08,280,=,Routine
99630,Sandringham,2020-12-08,10,=,Routine
99060,Hampton,2020-12-08,110,=,Routine
99992,Mornington,2020-12-08,120,=,Routine
99998,Santa Casa,2020-12-08,63,=,Routine
99991,Brighton,2020-12-08,10,<,Routine
99580,Canadian Bay,2020-12-08,52,=,Routine
99650,Elwood,2020-12-08,460,=,Routine
99770,St Leonards,2020-12-08,30,=,Routine
99660,St Kilda,2020-12-08,860,=,Routine
99590,Frankston Coast Guard,2020-12-08,150,=,Routine
99997,South Melbourne,2020-12-08,52,=,Routine
99170,Frankston Life Saving Club,2020-12-08,270,=,Routine
99020,Port Melbourne,2020-12-08,670,=,Routine
99760,Portarlington,2020-12-08,300,=,Routine
99160,Seaford,2020-12-08,140,=,Routine
99690,Sandridge,2020-12-08,20,=,Routine
99995,Carrum,2020-12-08,160,=,Routine
99500,The Dell,2020-12-08,30,=,Routine
99700,Williamstown,2020-12-08,51,=,Routine
99996,Aspendale,2020-12-08,85,=,Routine
99710,Altona,2020-12-08,41,=,Routine
99510,Eastern,2020-12-08,10,<,Routine
99620,Mordialloc,2020-12-15,20,=,Routine
99100,Mentone,2020-12-15,41,=,Routine
99520,Portsea,2020-12-15,10,<,Routine
99290,Sorrento,2020-12-15,74,=,Routine
99990,Beaumaris,2020-12-15,20,=,Routine
99280,Blairgowrie,2020-12-15,10,=,Routine
99999,Black Rock,2020-12-15,10,<,Routine
99530,Rye,2020-12-15,390,=,Routine
99070,Half Moon Bay,2020-12-15,20,=,Routine
99630,Sandringham,2020-12-15,20,=,Routine
99993,Rosebud,2020-12-15,10,=,Routine
99060,Hampton,2020-12-15,51,=,Routine
99991,Brighton,2020-12-15,10,=,Routine
99550,Dromana,2020-12-15,30,=,Routine
99240,Safety Beach,2020-12-15,31,=,Routine
99650,Elwood,2020-12-15,10,=,Routine
99994,Mount Martha,2020-12-15,20,=,Routine
99660,St Kilda,2020-12-15,10,<,Routine
99992,Mornington,2020-12-15,41,=,Routine
99730,Werribee South,2020-12-15,52,=,Routine
99997,South Melbourne,2020-12-15,10,<,Routine
99580,Canadian Bay,2020-12-15,10,<,Routine
99020,Port Melbourne,2020-12-15,10,<,Routine
99690,Sandridge,2020-12-15,31,=,Routine
99510,Eastern,2020-12-15,10,<,Routine
99590,Frankston Coast Guard,2020-12-15,10,<,Routine
99700,Williamstown,2020-12-15,10,=,Routine
99170,Frankston Life Saving Club,2020-12-15,10,<,Routine
99500,The Dell,2020-12-15,74,=,Routine
99710,Altona,2020-12-15,10,<,Routine
99160,Seaford,2020-12-15,10,=,Routine
99760,Portarlington,2020-12-15,31,=,Routine
99995,Carrum,2020-12-15,10,<,Routine
99770,St Leonards,2020-12-15,10,<,Routine
99996,Aspendale,2020-12-15,20,=,Routine
99998,Santa Casa,2020-12-15,10,=,Routine
99620,Mordialloc,2020-12-22,96,=,Routine
99100,Mentone,2020-12-22,1600,=,Routine
99290,Sorrento,2020-12-22,20,=,Routine
99280,Blairgowrie,2020-12-22,52,=,Routine
99990,Beaumaris,2020-12-22,20,=,Routine
99530,Rye,2020-12-22,63,=,Routine
99993,Rosebud,2020-12-22,74,=,Routine
99070,Half Moon Bay,2020-12-22,220,=,Routine
99550,Dromana,2020-12-22,860,=,Routine
99991,Brighton,2020-12-22,41,=,Routine
99240,Safety Beach,2020-12-22,230,=,Routine
99650,Elwood,2020-12-22,10,<,Routine
99660,St Kilda,2020-12-22,4400,=,Routine
99994,Mount Martha,2020-12-22,960,=,Routine
99997,South Melbourne,2020-12-22,62,=,Routine
99992,Mornington,2020-12-22,2400,=,Routine
99020,Port Melbourne,2020-12-22,2100,=,Routine
99730,Werribee South,2020-12-22,320,=,Routine
99690,Sandridge,2020-12-22,63,=,Routine
99580,Canadian Bay,2020-12-22,320,=,Routine
99700,Williamstown,2020-12-22,410,=,Routine
99590,Frankston Coast Guard,2020-12-22,1800,=,Routine
99510,Eastern,2020-12-22,74,=,Routine
99170,Frankston Life Saving Club,2020-12-22,4600,=,Routine
99710,Altona,2020-12-22,260,=,Routine
99160,Seaford,2020-12-22,31,=,Routine
99500,The Dell,2020-12-22,220,=,Routine
99995,Carrum,2020-12-22,190,=,Routine
99760,Portarlington,2020-12-22,230,=,Routine
99996,Aspendale,2020-12-22,1700,=,Routine
99770,St Leonards,2020-12-22,200,=,Routine
99998,Santa Casa,2020-12-22,10,<,Routine
99620,Mordialloc,2020-12-29,10,<,Routine
99520,Portsea,2020-12-29,10,<,Routine
99100,Mentone,2020-12-29,31,=,Routine
99290,Sorrento,2020-12-29,10,=,Routine
99990,Beaumaris,2020-12-29,10,=,Routine
99280,Blairgowrie,2020-12-29,31,=,Routine
99999,Black Rock,2020-12-29,10,<,Routine
99530,Rye,2020-12-29,10,<,Routine
99070,Half Moon Bay,2020-12-29,31,=,Routine
99630,Sandringham,2020-12-29,10,<,Routine
99993,Rosebud,2020-12-29,10,<,Routine
99060,Hampton,2020-12-29,10,<,Routine
99550,Dromana,2020-12-29,10,<,Routine
99991,Brighton,2020-12-29,10,<,Routine
99240,Safety Beach,2020-12-29,74,=,Routine
99650,Elwood,2020-12-29,10,=,Routine
99994,Mount Martha,2020-12-29,10,<,Routine
99660,St Kilda,2020-12-29,10,=,Routine
99992,Mornington,2020-12-29,10,<,Routine
99730,Werribee South,2020-12-29,10,=,Routine
99997,South Melbourne,2020-12-29,10,<,Routine
99020,Port Melbourne,2020-12-29,10,=,Routine
99580,Canadian Bay,2020-12-29,10,<,Routine
99690,Sandridge,2020-12-29,10,=,Routine
99590,Frankston Coast Guard,2020-12-29,10,<,Routine
99700,Williamstown,2020-12-29,10,<,Routine
99170,Frankston Life Saving Club,2020-12-29,10,<,Routine
99710,Altona,2020-12-29,10,<,Routine
99160,Seaford,2020-12-29,10,<,Routine
99510,Eastern,2020-12-29,31,=,Routine
99995,Carrum,2020-12-29,10,<,Routine
99996,Aspendale,2020-12-29,10,<,Routine
99500,The Dell,2020-12-29,10,<,Routine
99760,Portarlington,2020-12-29,10,=,Routine
99770,St Leonards,2020-12-29,10,<,Routine
99998,Santa Casa,2020-12-29,10,<,Routine
99620,Mordialloc,2021-01-05,250,=,Routine
99100,Mentone,2021-01-05,540,=,Routine
99520,Portsea,2021-01-05,31,=,Routine
99990,Beaumaris,2021-01-05,20,=,Routine
99290,Sorrento,2021-01-05,20,=,Routine
99280,Blairgowrie,2021-01-05,190,=,Routine
99530,Rye,2021-01-05,10,<,Routine
99999,Black Rock,2021-01-05,180,=,Routine
99070,Half Moon Bay,2021-01-05,31,=,Routine
99993,Rosebud,2021-01-05,63,=,Routine
99550,Dromana,2021-01-05,130,=,Routine
99060,Hampton,2021-01-05,110,=,Routine
99991,Brighton,2021-01-05,160,=,Routine
99650,Elwood,2021-01-05,540,=,Routine
99240,Safety Beach,2021-01-05,30,=,Routine
99660,St Kilda,2021-01-05,2700,=,Routine
99997,South Melbourne,2021-01-05,900,=,Routine
99020,Port Melbourne,2021-01-05,1400,=,Routine
99994,Mount Martha,2021-01-05,20,=,Routine
99690,Sandridge,2021-01-05,2200,=,Routine
99730,Werribee South,2021-01-05,430,=,Routine
99992,Mornington,2021-01-05,41,=,Routine
99700,Williamstown,2021-01-05,41,=,Routine
99580,Canadian Bay,2021-01-05,10,=,Routine
99710,Altona,2021-01-05,97,=,Routine
99590,Frankston Coast Guard,2021-01-05,31,=,Routine
99510,Eastern,2021-01-05,230,=,Routine
99170,Frankston Life Saving Club,2021-01-05,270,=,Routine
99160,Seaford,2021-01-05,52,=,Routine
99995,Carrum,2021-01-05,10,<,Routine
99998,Santa Casa,2021-01-05,10,<,Routine
99996,Aspendale,2021-01-05,10,=,Routine
99770,St Leonards,2021-01-05,410,=,Routine
99760,Portarlington,2021-01-05,520,=,Routine
99500,The Dell,2021-01-05,30,=,Routine
99520,Portsea,2021-01-12,20,=,Routine
99100,Mentone,2021-01-12,200,=,Routine
99290,Sorrento,2021-01-12,31,=,Routine
99990,Beaumaris,2021-01-12,86,=,Routine
99280,Blairgowrie,2021-01-12,97,=,Routine
99530,Rye,2021-01-12,360,=,Routine
99999,Black Rock,2021-01-12,10,<,Routine
99993,Rosebud,2021-01-12,86,=,Routine
99070,Half Moon Bay,2021-01-12,20,=,Routine
99550,Dromana,2021-01-12,110,=,Routine
99240,Safety Beach,2021-01-12,130,=,Routine
99060,Hampton,2021-01-12,52,=,Routine
99991,Brighton,2021-01-12,130,=,Routine
99994,Mount Martha,2021-01-12,41,=,Routine
99730,Werribee South,2021-01-12,52,=,Routine
99992,Mornington,2021-01-12,31,=,Routine
99660,St Kilda,2021-01-12,110,=,Routine
99997,South Melbourne,2021-01-12,52,=,Routine
99580,Canadian Bay,2021-01-12,85,=,Routine
99020,Port Melbourne,2021-01-12,20,=,Routine
99690,Sandridge,2021-01-12,10,=,Routine
99510,Eastern,2021-01-12,120,=,Routine
99590,Frankston Coast Guard,2021-01-12,20,=,Routine
99700,Williamstown,2021-01-12,30,=,Routine
99170,Frankston Life Saving Club,2021-01-12,20,=,Routine
99710,Altona,2021-01-12,10,<,Routine
99995,Carrum,2021-01-12,10,=,Routine
99160,Seaford,2021-01-12,52,=,Routine
99996,Aspendale,2021-01-12,31,=,Routine
99998,Santa Casa,2021-01-12,10,<,Routine
99770,St Leonards,2021-01-12,63,=,Routine
99760,Portarlington,2021-01-12,820,=,Routine
99500,The Dell,2021-01-12,41,=,Routine
99620,Mordialloc,2021-01-19,10,=,Routine
99100,Mentone,2021-01-19,10,<,Routine
99290,Sorrento,2021-01-19,10,<,Routine
99280,Blairgowrie,2021-01-19,10,=,Routine
99990,Beaumaris,2021-01-19,20,=,Routine
